Total time: 8.583711s

p[135].x: 189.026	p[135].y: 26.215	p[135].z: 4.425
p[135].vx: 2103.154	p[135].vy: 291.818	p[135].vz: 48.984

p[136].x: -106.850	p[136].y: 191.675	p[136].z: -178.908
p[136].vx: -1187.568	p[136].vy: 2130.490	p[136].vz: -1988.829

p[137].x: 9.593	p[137].y: -140.114	p[137].z: -155.152
p[137].vx: 106.839	p[137].vy: -1558.408	p[137].vz: -1725.745

p[138].x: -181.183	p[138].y: -127.104	p[138].z: 32.348
p[138].vx: -2014.379	p[138].vy: -1412.730	p[138].vz: 359.476

p[139].x: -60.887	p[139].y: 59.698	p[139].z: -20.689
p[139].vx: -679.671	p[139].vy: 666.657	p[139].vz: -230.698

p[140].x: 13.132	p[140].y: -189.143	p[140].z: -180.325
p[140].vx: 146.127	p[140].vy: -2102.830	p[140].vz: -2004.921

p[141].x: -173.216	p[141].y: -51.991	p[141].z: 142.986
p[141].vx: -1926.154	p[141].vy: -578.011	p[141].vz: 1589.659

p[142].x: -87.095	p[142].y: 99.023	p[142].z: 114.995
p[142].vx: -968.951	p[142].vy: 1101.961	p[142].vz: 1279.651

p[143].x: 12.586	p[143].y: 51.191	p[143].z: 228.930
p[143].vx: 140.046	p[143].vy: 569.363	p[143].vz: 2545.644

p[144].x: 180.476	p[144].y: 79.777	p[144].z: 136.785
p[144].vx: 2006.563	p[144].vy: 887.067	p[144].vz: 1520.742

p[145].x: 149.876	p[145].y: 187.868	p[145].z: -99.784
p[145].vx: 1666.370	p[145].vy: 2088.576	p[145].vz: -1109.390

p[146].x: 2.641	p[146].y: 226.156	p[146].z: -28.418
p[146].vx: 29.487	p[146].vy: 2514.885	p[146].vz: -315.994

p[147].x: 153.349	p[147].y: -22.443	p[147].z: -230.679
p[147].vx: 1704.907	p[147].vy: -249.328	p[147].vz: -2564.589

p[148].x: -23.624	p[148].y: 6.849	p[148].z: -24.332
p[148].vx: -268.248	p[148].vy: 75.763	p[148].vz: -275.991

p[149].x: -227.493	p[149].y: 8.167	p[149].z: 179.054
p[149].vx: -2528.300	p[149].vy: 90.960	p[149].vz: 1989.886

p[150].x: 179.791	p[150].y: -44.736	p[150].z: 20.979
p[150].vx: 2000.592	p[150].vy: -497.664	p[150].vz: 233.262

p[151].x: -134.553	p[151].y: 118.917	p[151].z: 48.615
p[151].vx: -1496.261	p[151].vy: 1322.414	p[151].vz: 540.837

p[152].x: -204.632	p[152].y: 36.330	p[152].z: 110.504
p[152].vx: -2275.603	p[152].vy: 404.039	p[152].vz: 1228.599

p[153].x: 44.644	p[153].y: 84.889	p[153].z: -213.418
p[153].vx: 496.492	p[153].vy: 943.471	p[153].vz: -2372.414

p[154].x: -84.779	p[154].y: -120.819	p[154].z: -56.888
p[154].vx: -943.033	p[154].vy: -1345.430	p[154].vz: -633.203

p[155].x: 126.518	p[155].y: -153.970	p[155].z: -59.627
p[155].vx: 1407.102	p[155].vy: -1712.738	p[155].vz: -663.356

p[156].x: -72.317	p[156].y: 9.199	p[156].z: -245.572
p[156].vx: -803.948	p[156].vy: 102.363	p[156].vz: -2730.193

p[157].x: 42.139	p[157].y: -207.540	p[157].z: 2.391
p[157].vx: 468.633	p[157].vy: -2308.396	p[157].vz: 26.244

p[158].x: -210.412	p[158].y: -110.799	p[158].z: 74.247
p[158].vx: -2338.424	p[158].vy: -1231.719	p[158].vz: 824.854

p[159].x: 122.410	p[159].y: -22.900	p[159].z: -20.582
p[159].vx: 1364.078	p[159].vy: -254.847	p[159].vz: -229.530

p[160].x: -216.399	p[160].y: 66.215	p[160].z: 83.852
p[160].vx: -2405.872	p[160].vy: 736.086	p[160].vz: 932.025

p[161].x: 129.324	p[161].y: 27.708	p[161].z: 189.633
p[161].vx: 1437.782	p[161].vy: 308.417	p[161].vz: 2108.313

p[162].x: -14.309	p[162].y: -112.290	p[162].z: 103.821
p[162].vx: -159.549	p[162].vy: -1249.860	p[162].vz: 1156.037

p[163].x: 122.204	p[163].y: 124.663	p[163].z: -90.522
p[163].vx: 1359.874	p[163].vy: 1386.877	p[163].vz: -1007.243

p[164].x: 68.160	p[164].y: 186.771	p[164].z: -5.970
p[164].vx: 758.079	p[164].vy: 2077.553	p[164].vz: -66.209

p[165].x: 114.491	p[165].y: -90.024	p[165].z: 50.658
p[165].vx: 1274.841	p[165].vy: -1001.976	p[165].vz: 563.701

p[166].x: -22.395	p[166].y: 111.906	p[166].z: -203.986
p[166].vx: -248.892	p[166].vy: 1244.198	p[166].vz: -2268.585

p[167].x: 162.122	p[167].y: 96.733	p[167].z: 67.963
p[167].vx: 1803.598	p[167].vy: 1076.134	p[167].vz: 755.958

p[168].x: 68.304	p[168].y: 144.523	p[168].z: -173.549
p[168].vx: 759.674	p[168].vy: 1606.648	p[168].vz: -1930.198

p[169].x: -164.615	p[169].y: -9.617	p[169].z: -43.311
p[169].vx: -1829.928	p[169].vy: -106.788	p[169].vz: -481.307

p[170].x: -182.533	p[170].y: 169.202	p[170].z: 49.873
p[170].vx: -2029.439	p[170].vy: 1881.237	p[170].vz: 554.421

p[171].x: -20.964	p[171].y: 99.675	p[171].z: -10.446
p[171].vx: -233.463	p[171].vy: 1112.189	p[171].vz: -116.467

p[172].x: -1.774	p[172].y: -221.152	p[172].z: -7.910
p[172].vx: -19.571	p[172].vy: -2459.124	p[172].vz: -88.054

