Total time: 3.116301s

p[164].vx: 39.692	p[164].vy: -85.620	p[164].vz: 6.735

p[165].x: -21.872	p[165].y: -2.332	p[165].z: -3.376
p[165].vx: -243.178	p[165].vy: -28.207	p[165].vz: -35.607

p[166].x: -2.548	p[166].y: 4.249	p[166].z: 0.116
p[166].vx: -27.317	p[166].vy: 42.681	p[166].vz: -2.977

p[167].x: -3.501	p[167].y: 1.926	p[167].z: -1.955
p[167].vx: -29.271	p[167].vy: 14.122	p[167].vz: -21.388

p[168].x: -3.977	p[168].y: 0.615	p[168].z: 3.067
p[168].vx: -41.036	p[168].vy: 11.885	p[168].vz: 26.033

p[169].x: -1.811	p[169].y: 1.714	p[169].z: 0.073
p[169].vx: -17.310	p[169].vy: 14.949	p[169].vz: 0.178

p[170].x: -5.461	p[170].y: -5.782	p[170].z: 0.449
p[170].vx: -60.040	p[170].vy: -53.696	p[170].vz: 4.543

p[171].x: -0.201	p[171].y: -4.558	p[171].z: -3.655
p[171].vx: -2.872	p[171].vy: -41.199	p[171].vz: -34.740

p[172].x: 0.594	p[172].y: 7.506	p[172].z: -1.597
p[172].vx: 8.042	p[172].vy: 73.149	p[172].vz: -15.802

p[173].x: 4.980	p[173].y: -7.797	p[173].z: 0.802
p[173].vx: 51.327	p[173].vy: -79.995	p[173].vz: 12.754

p[174].x: -3.259	p[174].y: -4.925	p[174].z: -4.809
p[174].vx: -40.118	p[174].vy: -48.271	p[174].vz: -49.735

p[175].x: -3.988	p[175].y: -4.294	p[175].z: 3.453
p[175].vx: -46.107	p[175].vy: -47.332	p[175].vz: 37.341

p[176].x: -4.099	p[176].y: -3.076	p[176].z: 11.447
p[176].vx: -44.897	p[176].vy: -32.840	p[176].vz: 122.351

p[177].x: -2.181	p[177].y: -6.535	p[177].z: -2.715
p[177].vx: -28.698	p[177].vy: -63.162	p[177].vz: -27.308

p[178].x: 4.985	p[178].y: -5.767	p[178].z: 0.319
p[178].vx: 56.013	p[178].vy: -61.711	p[178].vz: 0.698

