Total time: 1.625352s

p[102].vx: 111.487	p[102].vy: -70.319	p[102].vz: -194.564

p[103].x: -2.915	p[103].y: -3.471	p[103].z: -1.851
p[103].vx: -73.926	p[103].vy: -86.358	p[103].vz: -50.220

p[104].x: -4.064	p[104].y: 7.471	p[104].z: 6.706
p[104].vx: -100.689	p[104].vy: 190.274	p[104].vz: 172.029

p[105].x: 0.712	p[105].y: -4.114	p[105].z: -8.083
p[105].vx: 30.578	p[105].vy: -119.555	p[105].vz: -205.607

p[106].x: -2.020	p[106].y: -4.949	p[106].z: -2.142
p[106].vx: -50.550	p[106].vy: -125.575	p[106].vz: -54.967

p[107].x: -6.334	p[107].y: 1.001	p[107].z: -5.045
p[107].vx: -164.466	p[107].vy: 28.725	p[107].vz: -134.131

p[108].x: -2.028	p[108].y: 3.671	p[108].z: -2.311
p[108].vx: -63.663	p[108].vy: 102.690	p[108].vz: -70.273

p[109].x: 5.498	p[109].y: 2.169	p[109].z: 6.125
p[109].vx: 143.173	p[109].vy: 61.313	p[109].vz: 158.137

p[110].x: 3.322	p[110].y: 7.291	p[110].z: -3.797
p[110].vx: 88.145	p[110].vy: 190.393	p[110].vz: -99.250

p[111].x: -0.918	p[111].y: -2.367	p[111].z: -7.012
p[111].vx: -29.931	p[111].vy: -63.903	p[111].vz: -180.525

p[112].x: 3.266	p[112].y: 0.612	p[112].z: 1.828
p[112].vx: 81.589	p[112].vy: 15.430	p[112].vz: 47.275

p[113].x: -2.612	p[113].y: 7.452	p[113].z: 7.735
p[113].vx: -65.350	p[113].vy: 190.401	p[113].vz: 197.904

p[114].x: 1.475	p[114].y: -4.860	p[114].z: 5.572
p[114].vx: 39.642	p[114].vy: -131.636	p[114].vz: 149.738

p[115].x: -7.027	p[115].y: 3.912	p[115].z: -6.390
p[115].vx: -177.000	p[115].vy: 100.062	p[115].vz: -164.705

p[116].x: -3.907	p[116].y: -5.599	p[116].z: -2.814
p[116].vx: -101.842	p[116].vy: -144.586	p[116].vz: -74.773

p[117].x: -5.739	p[117].y: 4.865	p[117].z: -6.653
p[117].vx: -146.640	p[117].vy: 123.525	p[117].vz: -169.557

p[118].x: 5.188	p[118].y: 3.880	p[118].z: 3.258
p[118].vx: 136.756	p[118].vy: 104.493	p[118].vz: 87.817

p[119].x: -3.904	p[119].y: -2.429	p[119].z: 2.655
p[119].vx: -111.814	p[119].vy: -73.033	p[119].vz: 81.287

p[120].x: -0.570	p[120].y: 6.843	p[120].z: -3.210
p[120].vx: -16.948	p[120].vy: 174.758	p[120].vz: -81.659

p[121].x: -2.458	p[121].y: -3.725	p[121].z: -4.134
p[121].vx: -61.562	p[121].vy: -92.385	p[121].vz: -104.738

p[122].x: -0.956	p[122].y: 6.460	p[122].z: -4.889
p[122].vx: -22.268	p[122].vy: 169.363	p[122].vz: -134.535

p[123].x: 0.588	p[123].y: 3.798	p[123].z: -2.501
p[123].vx: 15.187	p[123].vy: 96.685	p[123].vz: -65.113

p[124].x: -4.851	p[124].y: 0.003	p[124].z: 4.301
p[124].vx: -127.800	p[124].vy: -1.423	p[124].vz: 110.506

p[125].x: 5.635	p[125].y: -3.260	p[125].z: -4.039
p[125].vx: 151.171	p[125].vy: -91.544	p[125].vz: -109.415

p[126].x: 1.466	p[126].y: -9.020	p[126].z: 5.474
p[126].vx: 34.546	p[126].vy: -228.773	p[126].vz: 137.537

p[127].x: -6.250	p[127].y: -4.841	p[127].z: -1.909
p[127].vx: -157.378	p[127].vy: -119.366	p[127].vz: -46.923

p[128].x: 1.851	p[128].y: 3.207	p[128].z: 10.079
p[128].vx: 49.878	p[128].vy: 83.123	p[128].vz: 255.368

