Total time: 2.401930s

p[0].x: -4.227	p[0].y: 7.640	p[0].z: -0.369
p[1582].vx: -66.434	p[1582].vy: -77.571	p[1582].vz: -60.682

p[1583].x: 1.562	p[1583].y: 4.823	p[1583].z: 2.353
p[1583].vx: 23.979	p[1583].vy: 68.744	p[1583].vz: 33.373

p[1584].x: 2.970	p[1584].y: 1.492	p[1584].z: 1.783
p[1584].vx: 42.274	p[1584].vy: 24.665	p[1584].vz: 26.972

p[1585].x: 1.744	p[1585].y: -3.057	p[1585].z: -2.640
p[1585].vx: 26.362	p[1585].vy: -44.217	p[1585].vz: -39.745

p[1586].x: 6.816	p[1586].y: 1.509	p[1586].z: 4.289
p[1586].vx: 96.346	p[1586].vy: 22.930	p[1586].vz: 60.354

p[1587].x: 4.373	p[1587].y: -3.850	p[1587].z: -2.377
p[1587].vx: 61.457	p[1587].vy: -55.272	p[1587].vz: -31.578

p[1588].x: -2.218	p[1588].y: -2.568	p[1588].z: 1.184
p[1588].vx: -33.661	p[1588].vy: -37.532	p[1588].vz: 18.832

p[1589].x: -0.268	p[1589].y: 0.527	p[1589].z: 1.354
p[1589].vx: -3.835	p[1589].vy: 6.860	p[1589].vz: 14.847

p[1590].x: 7.590	p[1590].y: 4.111	p[1590].z: 1.359
p[1590].vx: 107.636	p[1590].vy: 59.243	p[1590].vz: 17.848

p[1591].x: 6.025	p[1591].y: 1.298	p[1591].z: 1.898
p[1591].vx: 83.995	p[1591].vy: 18.782	p[1591].vz: 26.327

p[1592].x: 2.388	p[1592].y: -2.164	p[1592].z: 9.272
p[1592].vx: 34.774	p[1592].vy: -31.327	p[1592].vz: 131.711

p[1593].x: 3.683	p[1593].y: 6.027	p[1593].z: 0.492
p[1593].vx: 51.285	p[1593].vy: 86.555	p[1593].vz: 7.452

p[1594].x: 3.575	p[1594].y: 0.541	p[1594].z: 4.959
p[1594].vx: 51.771	p[1594].vy: 7.813	p[1594].vz: 69.962

p[1595].x: 5.241	p[1595].y: -0.269	p[1595].z: 6.292
p[1595].vx: 73.837	p[1595].vy: -3.375	p[1595].vz: 88.314

p[1596].x: -1.204	p[1596].y: -7.055	p[1596].z: -4.735
p[1596].vx: -17.567	p[1596].vy: -99.706	p[1596].vz: -67.390

p[1597].x: -9.605	p[1597].y: -3.050	p[1597].z: 7.247
p[1597].vx: -118.154	p[1597].vy: -34.329	p[1597].vz: 92.574

p[1598].x: 1.903	p[1598].y: -0.012	p[1598].z: 3.687
p[1598].vx: 32.829	p[1598].vy: 1.155	p[1598].vz: 61.135

p[1599].x: 4.258	p[1599].y: 1.882	p[1599].z: 2.613
p[1599].vx: 58.097	p[1599].vy: 25.870	p[1599].vz: 37.257

p[1600].x: 2.854	p[1600].y: 5.066	p[1600].z: 2.386
p[1600].vx: 41.716	p[1600].vy: 72.646	p[1600].vz: 34.991

p[1601].x: -4.094	p[1601].y: -7.024	p[1601].z: -0.753
p[1601].vx: -57.334	p[1601].vy: -97.783	p[1601].vz: -12.116

p[1602].x: 8.993	p[1602].y: -1.538	p[1602].z: -4.941
p[1602].vx: 129.418	p[1602].vy: -21.383	p[1602].vz: -70.679

p[1603].x: 0.516	p[1603].y: 4.080	p[1603].z: -3.161
p[1603].vx: 7.957	p[1603].vy: 60.946	p[1603].vz: -45.028

p[1604].x: -2.633	p[1604].y: 1.779	p[1604].z: -2.848
p[1604].vx: -41.925	p[1604].vy: 26.306	p[1604].vz: -47.053

p[1605].x: 1.873	p[1605].y: -2.168	p[1605].z: 2.067
p[1605].vx: 31.916	p[1605].vy: -33.069	p[1605].vz: 27.063

p[1606].x: -1.789	p[1606].y: 0.591	p[1606].z: -0.524
p[1606].vx: -20.460	p[1606].vy: 7.452	p[1606].vz: -7.484

p[1607].x: 5.086	p[1607].y: 2.743	p[1607].z: 2.975
p[1607].vx: 70.116	p[1607].vy: 37.366	p[1607].vz: 41.532

p[1608].x: -2.165	p[1608].y: 0.795	p[1608].z: 6.062
p[1608].vx: -29.311	p[1608].vy: 12.036	p[1608].vz: 86.807

p[1609].x: -1.931	p[1609].y: -4.937	p[1609].z: 6.033
p[1609].vx: -26.960	p[1609].vy: -69.648	p[1609].vz: 84.291

p[1610].x: 3.971	p[1610].y: 4.352	p[1610].z: -1.646
p[1610].vx: 55.895	p[1610].vy: 63.274	p[1610].vz: -24.596

p[1611].x: -2.405	p[1611].y: 2.163	p[1611].z: 1.452
p[1611].vx: -35.251	p[1611].vy: 33.747	p[1611].vz: 21.129

p[1612].x: 5.127	p[1612].y: -5.359	p[1612].z: 0.197
p[1612].vx: 73.760	p[1612].vy: -76.590	p[1612].vz: 1.753

p[1613].x: 4.762	p[1613].y: -2.236	p[1613].z: -3.758
p[1613].vx: 66.677	p[1613].vy: -30.837	p[1613].vz: -53.217

p[1614].x: -1.485	p[1614].y: -2.763	p[1614].z: 5.396
p[1614].vx: -21.466	p[1614].vy: -40.279	p[1614].vz: 76.503

p[1615].x: -2.552	p[1615].y: 7.114	p[1615].z: -8.692
p[1615].vx: -36.392	p[1615].vy: 101.613	p[1615].vz: -124.816

p[1616].x: -1.271	p[1616].y: 0.678	p[1616].z: -1.663
p[1616].vx: -18.190	p[1616].vy: 15.037	p[1616].vz: -36.553

p[1617].x: 2.743	p[1617].y: -6.082	p[1617].z: 2.776
p[1617].vx: 39.470	p[1617].vy: -86.695	p[1617].vz: 41.619

p[1618].x: 4.933	p[1618].y: 3.575	p[1618].z: 3.921
p[1618].vx: 72.676	p[1618].vy: 51.306	p[1618].vz: 54.126

p[1619].x: -6.018	p[1619].y: -3.483	p[1619].z: -3.382
p[1619].vx: -85.886	p[1619].vy: -49.336	p[1619].vz: -50.073

p[1620].x: 1.407	p[1620].y: 1.523	p[1620].z: -1.677
p[1620].vx: 33.960	p[1620].vy: 33.038	p[1620].vz: -33.002

p[1621].x: 5.896	p[1621].y: 7.217	p[1621].z: 1.158
p[1621].vx: 84.501	p[1621].vy: 102.226	p[1621].vz: 16.242

p[1622].x: -2.285	p[1622].y: 1.007	p[1622].z: -2.096
p[1622].vx: -39.358	p[1622].vy: 17.353	p[1622].vz: -30.745

p[1623].x: -1.233	p[1623].y: -2.576	p[1623].z: 6.627
p[1623].vx: -17.850	p[1623].vy: -36.647	p[1623].vz: 93.568

p[1624].x: -3.161	p[1624].y: 3.888	p[1624].z: -3.087
p[1624].vx: -44.064	p[1624].vy: 53.915	p[1624].vz: -44.208

p[1625].x: 2.113	p[1625].y: -2.853	p[1625].z: 1.562
p[1625].vx: 27.947	p[1625].vy: -38.064	p[1625].vz: 21.341

p[1626].x: -2.880	p[1626].y: 5.514	p[1626].z: -3.441
p[1626].vx: -40.607	p[1626].vy: 77.493	p[1626].vz: -48.607

p[1627].x: -5.946	p[1627].y: -0.539	p[1627].z: 4.485
p[1627].vx: -82.673	p[1627].vy: -7.203	p[1627].vz: 62.480

p[1628].x: 3.783	p[1628].y: -4.645	p[1628].z: 3.175
p[1628].vx: 54.341	p[1628].vy: -65.453	p[1628].vz: 45.645

p[1629].x: -5.451	p[1629].y: -0.333	p[1629].z: 2.726
p[1629].vx: -75.245	p[1629].vy: -5.442	p[1629].vz: 38.907

p[1630].x: -3.091	p[1630].y: 2.056	p[1630].z: 2.154
p[1630].vx: -45.750	p[1630].vy: 36.068	p[1630].vz: 39.107

p[1631].x: -6.221	p[1631].y: 1.184	p[1631].z: 2.737
p[1631].vx: -50.202	p[1631].vy: 18.649	p[1631].vz: 30.946

p[1632].x: -7.059	p[1632].y: 0.074	p[1632].z: -5.722
p[1632].vx: -98.937	p[1632].vy: 2.231	p[1632].vz: -82.371

p[1633].x: -20.653	p[1633].y: -3.557	p[1633].z: 5.850
p[1633].vx: -294.029	p[1633].vy: -51.539	p[1633].vz: 86.304

p[1634].x: -1.073	p[1634].y: -3.941	p[1634].z: -3.141
p[1634].vx: -14.297	p[1634].vy: -56.939	p[1634].vz: -43.115

p[1635].x: 3.206	p[1635].y: -7.188	p[1635].z: -5.330
p[1635].vx: 43.916	p[1635].vy: -101.610	p[1635].vz: -75.760

p[1636].x: 5.223	p[1636].y: -3.240	p[1636].z: 1.007
p[1636].vx: 73.201	p[1636].vy: -46.296	p[1636].vz: 15.479

p[1637].x: -1.355	p[1637].y: 0.005	p[1637].z: -1.907
p[1637].vx: -14.161	p[1637].vy: -6.994	p[1637].vz: -28.845

p[1638].x: 3.424	p[1638].y: -4.560	p[1638].z: 2.862
p[1638].vx: 49.194	p[1638].vy: -65.125	p[1638].vz: 41.096

p[1639].x: -2.231	p[1639].y: 1.658	p[1639].z: 2.222
p[1639].vx: -32.337	p[1639].vy: 23.103	p[1639].vz: 30.037

p[1640].x: -6.703	p[1640].y: 7.549	p[1640].z: -0.398
p[1640].vx: -95.682	p[1640].vy: 108.255	p[1640].vz: -6.606

p[1641].x: 3.781	p[1641].y: -4.089	p[1641].z: 1.146
p[1641].vx: 56.298	p[1641].vy: -58.944	p[1641].vz: 18.975

p[1642].x: -4.737	p[1642].y: 1.719	p[1642].z: 4.207
p[1642].vx: -68.632	p[1642].vy: 25.331	p[1642].vz: 59.634

p[1643].x: 2.535	p[1643].y: -2.835	p[1643].z: 1.662
p[1643].vx: 35.968	p[1643].vy: -43.231	p[1643].vz: 26.973

p[1644].x: 0.848	p[1644].y: -0.302	p[1644].z: 1.474
p[1644].vx: 11.526	p[1644].vy: -3.411	p[1644].vz: 15.408

p[1645].x: -0.798	p[1645].y: -7.260	p[1645].z: 1.849
p[1645].vx: -11.382	p[1645].vy: -103.551	p[1645].vz: 24.346

p[1646].x: -4.852	p[1646].y: 0.487	p[1646].z: -7.653
p[1646].vx: -67.842	p[1646].vy: 7.479	p[1646].vz: -109.840

p[1647].x: 2.643	p[1647].y: -1.955	p[1647].z: 0.650
p[1647].vx: 37.419	p[1647].vy: -26.608	p[1647].vz: 9.316

p[1648].x: -2.035	p[1648].y: 6.895	p[1648].z: 6.838
p[1648].vx: -29.066	p[1648].vy: 99.355	p[1648].vz: 98.789

p[1649].x: -4.633	p[1649].y: -1.516	p[1649].z: -2.177
p[1649].vx: -69.204	p[1649].vy: -21.053	p[1649].vz: -28.260

p[1650].x: 5.292	p[1650].y: 5.432	p[1650].z: 0.989
p[1650].vx: 77.032	p[1650].vy: 76.971	p[1650].vz: 15.135

p[1651].x: -4.759	p[1651].y: 3.814	p[1651].z: -1.515
p[1651].vx: -68.019	p[1651].vy: 55.700	p[1651].vz: -24.028

p[1652].x: -4.704	p[1652].y: -2.026	p[1652].z: -3.140
p[1652].vx: -68.112	p[1652].vy: -31.006	p[1652].vz: -45.052

p[1653].x: -3.189	p[1653].y: -1.953	p[1653].z: 2.814
p[1653].vx: -44.010	p[1653].vy: -28.295	p[1653].vz: 41.162

p[1654].x: 4.668	p[1654].y: 5.901	p[1654].z: 9.624
p[1654].vx: 66.927	p[1654].vy: 85.213	p[1654].vz: 138.558

p[1655].x: -6.403	p[1655].y: -1.330	p[1655].z: -4.354
p[1655].vx: -90.931	p[1655].vy: -18.940	p[1655].vz: -63.052

p[1656].x: 7.002	p[1656].y: -2.637	p[1656].z: 7.374
p[1656].vx: 100.181	p[1656].vy: -36.711	p[1656].vz: 105.876

p[1657].x: 3.620	p[1657].y: 3.810	p[1657].z: 2.149
p[1657].vx: 49.080	p[1657].vy: 51.762	p[1657].vz: 29.763

p[1658].x: 3.803	p[1658].y: 1.132	p[1658].z: -8.416
p[1658].vx: 53.833	p[1658].vy: 16.508	p[1658].vz: -121.297

p[1659].x: -6.396	p[1659].y: 4.458	p[1659].z: -4.865
p[1659].vx: -97.311	p[1659].vy: 64.556	p[1659].vz: -79.293

p[1660].x: -4.044	p[1660].y: 4.962	p[1660].z: -3.243
p[1660].vx: -57.917	p[1660].vy: 70.102	p[1660].vz: -47.811

p[1661].x: -1.072	p[1661].y: -2.275	p[1661].z: 2.627
p[1661].vx: -16.724	p[1661].vy: -39.537	p[1661].vz: 34.585

p[1662].x: 1.946	p[1662].y: -1.024	p[1662].z: -1.313
p[1662].vx: 28.236	p[1662].vy: -16.353	p[1662].vz: -22.806

p[1663].x: -0.189	p[1663].y: 0.271	p[1663].z: 1.062
p[1663].vx: -1.994	p[1663].vy: 4.492	p[1663].vz: 12.277

p[1664].x: -4.520	p[1664].y: 4.664	p[1664].z: 0.326
p[1664].vx: -63.565	p[1664].vy: 66.280	p[1664].vz: 2.227

p[1665].x: -4.146	p[1665].y: 6.898	p[1665].z: -1.837
p[1665].vx: -60.109	p[1665].vy: 97.426	p[1665].vz: -26.724

p[1666].x: -4.778	p[1666].y: 3.544	p[1666].z: 4.811
p[1666].vx: -67.482	p[1666].vy: 51.051	p[1666].vz: 68.412

p[1667].x: 2.949	p[1667].y: 0.678	p[1667].z: 0.335
p[1667].vx: 46.525	p[1667].vy: 7.343	p[1667].vz: 0.005

p[1668].x: -2.637	p[1668].y: -0.123	p[1668].z: 3.327
p[1668].vx: -37.068	p[1668].vy: -1.592	p[1668].vz: 49.149

p[1669].x: 5.324	p[1669].y: -5.774	p[1669].z: 3.989
p[1669].vx: 75.422	p[1669].vy: -81.921	p[1669].vz: 57.346

p[1670].x: 3.616	p[1670].y: 2.822	p[1670].z: -2.861
p[1670].vx: 55.489	p[1670].vy: 38.717	p[1670].vz: -40.681

p[1671].x: -5.046	p[1671].y: 4.198	p[1671].z: -4.972
p[1671].vx: -72.075	p[1671].vy: 59.753	p[1671].vz: -70.729

p[1672].x: -0.671	p[1672].y: 2.322	p[1672].z: 0.933
p[1672].vx: -8.219	p[1672].vy: 29.991	p[1672].vz: 11.018

p[1673].x: -2.417	p[1673].y: -1.803	p[1673].z: -1.557
p[1673].vx: -38.310	p[1673].vy: -35.378	p[1673].vz: -29.198

p[1674].x: 1.283	p[1674].y: -1.030	p[1674].z: 0.550
p[1674].vx: 14.260	p[1674].vy: -15.477	p[1674].vz: 8.458

p[1675].x: 2.270	p[1675].y: 1.098	p[1675].z: 2.659
p[1675].vx: 40.206	p[1675].vy: 14.520	p[1675].vz: 42.701

p[1676].x: -3.725	p[1676].y: 4.691	p[1676].z: -5.536
p[1676].vx: -53.019	p[1676].vy: 67.073	p[1676].vz: -78.387

p[1677].x: 2.497	p[1677].y: 4.426	p[1677].z: 2.526
p[1677].vx: 27.071	p[1677].vy: 61.309	p[1677].vz: 39.678

p[1678].x: -3.262	p[1678].y: -1.034	p[1678].z: 3.466
p[1678].vx: -43.919	p[1678].vy: -6.213	p[1678].vz: 38.453

p[1679].x: 3.101	p[1679].y: 1.647	p[1679].z: 1.345
p[1679].vx: 43.412	p[1679].vy: 27.867	p[1679].vz: 16.213

p[1680].x: -2.707	p[1680].y: 2.094	p[1680].z: 2.710
p[1680].vx: -41.273	p[1680].vy: 34.804	p[1680].vz: 44.063

p[1681].x: -0.592	p[1681].y: -2.195	p[1681].z: 0.018
p[1681].vx: -7.419	p[1681].vy: -42.204	p[1681].vz: -2.681

p[1682].x: 4.609	p[1682].y: 2.235	p[1682].z: 4.917
p[1682].vx: 63.589	p[1682].vy: 31.701	p[1682].vz: 68.852

p[1683].x: 2.026	p[1683].y: -2.150	p[1683].z: 2.792
p[1683].vx: 30.032	p[1683].vy: -34.415	p[1683].vz: 38.436

p[1684].x: 1.964	p[1684].y: -1.932	p[1684].z: 2.038
p[1684].vx: 35.561	p[1684].vy: -32.444	p[1684].vz: 36.632

p[1685].x: 6.591	p[1685].y: -9.875	p[1685].z: 1.014
p[1685].vx: 94.563	p[1685].vy: -140.375	p[1685].vz: 12.855

p[1686].x: -4.788	p[1686].y: -0.564	p[1686].z: 5.221
p[1686].vx: -67.527	p[1686].vy: -7.466	p[1686].vz: 72.610

p[1687].x: -2.624	p[1687].y: -2.817	p[1687].z: 0.923
p[1687].vx: -35.182	p[1687].vy: -36.811	p[1687].vz: 11.198

p[1688].x: -7.192	p[1688].y: -0.773	p[1688].z: -5.701
p[1688].vx: -101.100	p[1688].vy: -12.158	p[1688].vz: -81.874

p[1689].x: -4.150	p[1689].y: 2.752	p[1689].z: 2.205
p[1689].vx: -57.123	p[1689].vy: 39.639	p[1689].vz: 35.401

p[1690].x: -3.639	p[1690].y: -4.316	p[1690].z: -3.498
p[1690].vx: -49.134	p[1690].vy: -60.452	p[1690].vz: -48.897

p[1691].x: -1.706	p[1691].y: -5.930	p[1691].z: -7.881
p[1691].vx: -23.769	p[1691].vy: -84.651	p[1691].vz: -114.125

p[1692].x: -2.067	p[1692].y: 1.802	p[1692].z: -3.629
p[1692].vx: -32.475	p[1692].vy: 29.975	p[1692].vz: -58.739

p[1693].x: 2.947	p[1693].y: -2.517	p[1693].z: 2.544
p[1693].vx: 40.657	p[1693].vy: -34.110	p[1693].vz: 32.811

p[1694].x: 8.466	p[1694].y: 2.194	p[1694].z: -2.846
p[1694].vx: 119.884	p[1694].vy: 31.864	p[1694].vz: -42.033

p[1695].x: -1.892	p[1695].y: -2.230	p[1695].z: 2.638
p[1695].vx: -34.300	p[1695].vy: -30.992	p[1695].vz: 40.985

p[1696].x: -2.176	p[1696].y: -6.022	p[1696].z: 0.467
p[1696].vx: -30.817	p[1696].vy: -84.624	p[1696].vz: 5.823

p[1697].x: -6.244	p[1697].y: 2.861	p[1697].z: -2.573
p[1697].vx: -88.887	p[1697].vy: 42.447	p[1697].vz: -38.530

p[1698].x: -0.431	p[1698].y: -0.517	p[1698].z: 0.064
p[1698].vx: -10.000	p[1698].vy: -4.816	p[1698].vz: 2.886

p[1699].x: 2.456	p[1699].y: 2.475	p[1699].z: -0.325
p[1699].vx: 34.755	p[1699].vy: 38.225	p[1699].vz: -6.713

p[1700].x: 2.452	p[1700].y: 1.280	p[1700].z: -2.451
p[1700].vx: 42.091	p[1700].vy: 20.980	p[1700].vz: -39.751

p[1701].x: -5.011	p[1701].y: -4.759	p[1701].z: 0.918
p[1701].vx: -72.146	p[1701].vy: -68.225	p[1701].vz: 15.451

p[1702].x: 1.714	p[1702].y: 3.384	p[1702].z: 3.088
p[1702].vx: 22.773	p[1702].vy: 52.040	p[1702].vz: 45.422

p[1703].x: 3.126	p[1703].y: 3.492	p[1703].z: 1.382
p[1703].vx: 47.150	p[1703].vy: 53.730	p[1703].vz: 18.538

p[1704].x: -3.884	p[1704].y: -2.421	p[1704].z: -1.883
p[1704].vx: -58.142	p[1704].vy: -32.537	p[1704].vz: -26.553

p[1705].x: 6.996	p[1705].y: 5.001	p[1705].z: 2.927
p[1705].vx: 100.018	p[1705].vy: 71.097	p[1705].vz: 42.485

p[1706].x: -1.836	p[1706].y: 2.138	p[1706].z: -0.493
p[1706].vx: -21.951	p[1706].vy: 35.854	p[1706].vz: -13.658

p[1707].x: 0.598	p[1707].y: -2.326	p[1707].z: 2.410
p[1707].vx: 20.126	p[1707].vy: -46.344	p[1707].vz: 43.246

p[1708].x: 0.759	p[1708].y: 0.645	p[1708].z: 3.828
p[1708].vx: 11.578	p[1708].vy: 9.266	p[1708].vz: 49.647

p[1709].x: -2.037	p[1709].y: -0.120	p[1709].z: -0.570
p[1709].vx: -6.680	p[1709].vy: 8.245	p[1709].vz: 6.682

p[1710].x: 5.758	p[1710].y: -2.546	p[1710].z: -7.719
p[1710].vx: 81.938	p[1710].vy: -36.117	p[1710].vz: -110.336

p[1711].x: -4.590	p[1711].y: 0.321	p[1711].z: 2.351
p[1711].vx: -61.786	p[1711].vy: 4.412	p[1711].vz: 30.571

p[1712].x: 0.932	p[1712].y: 3.351	p[1712].z: 5.135
p[1712].vx: 14.120	p[1712].vy: 47.948	p[1712].vz: 71.430

p[1713].x: -1.273	p[1713].y: -4.259	p[1713].z: -5.769
p[1713].vx: -17.446	p[1713].vy: -59.315	p[1713].vz: -81.563

p[1714].x: 3.267	p[1714].y: 3.041	p[1714].z: -2.863
p[1714].vx: 48.238	p[1714].vy: 44.756	p[1714].vz: -43.572

p[1715].x: -5.322	p[1715].y: 1.545	p[1715].z: -3.159
p[1715].vx: -76.417	p[1715].vy: 22.889	p[1715].vz: -48.249

p[1716].x: -3.113	p[1716].y: -2.034	p[1716].z: -1.957
p[1716].vx: -45.159	p[1716].vy: -26.106	p[1716].vz: -33.375

p[1717].x: -1.974	p[1717].y: 2.699	p[1717].z: -2.469
p[1717].vx: -31.113	p[1717].vy: 37.976	p[1717].vz: -38.594

p[1718].x: -3.608	p[1718].y: 14.186	p[1718].z: 6.209
p[1718].vx: -44.850	p[1718].vy: 181.980	p[1718].vz: 69.763

p[1719].x: -1.078	p[1719].y: -0.399	p[1719].z: 4.984
p[1719].vx: -15.556	p[1719].vy: -6.929	p[1719].vz: 71.498

p[1720].x: -2.612	p[1720].y: -2.221	p[1720].z: -1.689
p[1720].vx: -28.722	p[1720].vy: -15.788	p[1720].vz: -14.340

p[1721].x: -1.900	p[1721].y: 3.956	p[1721].z: 5.460
p[1721].vx: -27.178	p[1721].vy: 57.114	p[1721].vz: 78.289

p[1722].x: 3.767	p[1722].y: -2.568	p[1722].z: -6.357
p[1722].vx: 54.443	p[1722].vy: -37.668	p[1722].vz: -90.986

p[1723].x: 2.529	p[1723].y: -5.033	p[1723].z: 5.364
p[1723].vx: 36.302	p[1723].vy: -70.577	p[1723].vz: 76.934

p[1724].x: 1.461	p[1724].y: 1.966	p[1724].z: -2.723
p[1724].vx: 22.814	p[1724].vy: 33.775	p[1724].vz: -33.672

p[1725].x: -1.676	p[1725].y: -4.053	p[1725].z: 6.133
p[1725].vx: -25.737	p[1725].vy: -60.205	p[1725].vz: 86.164

p[1726].x: -0.998	p[1726].y: -3.501	p[1726].z: -2.880
p[1726].vx: -17.404	p[1726].vy: -49.160	p[1726].vz: -43.193

p[1727].x: 1.995	p[1727].y: -3.994	p[1727].z: 4.572
p[1727].vx: 27.855	p[1727].vy: -57.607	p[1727].vz: 64.677

p[1728].x: 2.938	p[1728].y: 4.477	p[1728].z: 2.222
p[1728].vx: 49.836	p[1728].vy: 63.990	p[1728].vz: 23.723

p[1729].x: 3.117	p[1729].y: -1.712	p[1729].z: -2.304
p[1729].vx: 46.332	p[1729].vy: -26.617	p[1729].vz: -25.935

p[1730].x: -3.666	p[1730].y: -2.921	p[1730].z: -4.343
p[1730].vx: -53.055	p[1730].vy: -42.249	p[1730].vz: -63.021

p[1731].x: 7.289	p[1731].y: -1.792	p[1731].z: 7.407
p[1731].vx: 104.641	p[1731].vy: -24.717	p[1731].vz: 105.588

p[1732].x: -3.945	p[1732].y: -0.441	p[1732].z: 3.407
p[1732].vx: -57.967	p[1732].vy: -5.969	p[1732].vz: 47.527

p[1733].x: 3.456	p[1733].y: 6.313	p[1733].z: 2.470
p[1733].vx: 49.972	p[1733].vy: 89.689	p[1733].vz: 36.270

p[1734].x: 0.900	p[1734].y: -0.865	p[1734].z: -0.415
p[1734].vx: 26.920	p[1734].vy: 4.259	p[1734].vz: -2.105

p[1735].x: -2.249	p[1735].y: 2.571	p[1735].z: 1.343
p[1735].vx: -31.836	p[1735].vy: 40.693	p[1735].vz: 19.441

p[1736].x: -0.604	p[1736].y: 2.260	p[1736].z: -0.926
p[1736].vx: -0.313	p[1736].vy: 34.759	p[1736].vz: -10.073

p[1737].x: 3.053	p[1737].y: -6.773	p[1737].z: 3.063
p[1737].vx: 43.340	p[1737].vy: -94.699	p[1737].vz: 43.915

p[1738].x: -2.070	p[1738].y: -3.311	p[1738].z: 7.121
p[1738].vx: -29.325	p[1738].vy: -46.319	p[1738].vz: 100.060

p[1739].x: -5.486	p[1739].y: 4.634	p[1739].z: 1.573
p[1739].vx: -76.653	p[1739].vy: 65.073	p[1739].vz: 22.553

p[1740].x: -2.046	p[1740].y: 2.892	p[1740].z: 2.491
p[1740].vx: -35.718	p[1740].vy: 33.534	p[1740].vz: 36.811

p[1741].x: -1.285	p[1741].y: 8.159	p[1741].z: 3.929
p[1741].vx: -19.001	p[1741].vy: 115.646	p[1741].vz: 54.089

p[1742].x: -4.890	p[1742].y: -4.636	p[1742].z: 0.016
p[1742].vx: -67.691	p[1742].vy: -64.567	p[1742].vz: 0.707

p[1743].x: 4.952	p[1743].y: -6.560	p[1743].z: -2.304
p[1743].vx: 70.405	p[1743].vy: -93.966	p[1743].vz: -34.689

p[1744].x: -3.829	p[1744].y: 1.784	p[1744].z: -5.260
p[1744].vx: -53.616	p[1744].vy: 24.795	p[1744].vz: -74.194

p[1745].x: -5.284	p[1745].y: 1.825	p[1745].z: 5.974
p[1745].vx: -73.580	p[1745].vy: 27.940	p[1745].vz: 86.083

p[1746].x: 1.949	p[1746].y: -0.343	p[1746].z: -0.619
p[1746].vx: 21.226	p[1746].vy: 3.726	p[1746].vz: -15.569

p[1747].x: 1.226	p[1747].y: 7.469	p[1747].z: 0.903
p[1747].vx: 17.839	p[1747].vy: 104.881	p[1747].vz: 12.391

p[1748].x: 4.411	p[1748].y: -1.819	p[1748].z: -3.329
p[1748].vx: 61.122	p[1748].vy: -25.941	p[1748].vz: -47.646

p[1749].x: 4.818	p[1749].y: -6.890	p[1749].z: -2.248
p[1749].vx: 67.945	p[1749].vy: -96.656	p[1749].vz: -30.981

p[1750].x: -2.421	p[1750].y: 1.653	p[1750].z: -1.749
p[1750].vx: -20.964	p[1750].vy: 18.996	p[1750].vz: -28.753

p[1751].x: -0.144	p[1751].y: 0.522	p[1751].z: -0.990
p[1751].vx: -19.745	p[1751].vy: 14.603	p[1751].vz: -14.857

p[1752].x: 4.645	p[1752].y: 0.133	p[1752].z: 3.721
p[1752].vx: 64.658	p[1752].vy: 1.193	p[1752].vz: 50.922

p[1753].x: -2.471	p[1753].y: -4.087	p[1753].z: 2.927
p[1753].vx: -35.917	p[1753].vy: -55.803	p[1753].vz: 42.759

p[1754].x: 1.383	p[1754].y: 1.420	p[1754].z: -1.609
p[1754].vx: 26.187	p[1754].vy: 19.564	p[1754].vz: -20.703

p[1755].x: 5.891	p[1755].y: -0.278	p[1755].z: 2.321
p[1755].vx: 82.610	p[1755].vy: -3.753	p[1755].vz: 30.825

p[1756].x: 2.234	p[1756].y: 2.612	p[1756].z: -3.067
p[1756].vx: 34.075	p[1756].vy: 39.200	p[1756].vz: -44.936

p[1757].x: 1.942	p[1757].y: -5.383	p[1757].z: 4.246
p[1757].vx: 26.010	p[1757].vy: -76.883	p[1757].vz: 61.976

p[1758].x: 0.414	p[1758].y: 5.152	p[1758].z: -4.745
p[1758].vx: 6.677	p[1758].vy: 71.882	p[1758].vz: -66.835

p[1759].x: 4.195	p[1759].y: -1.832	p[1759].z: 3.788
p[1759].vx: 61.175	p[1759].vy: -26.213	p[1759].vz: 53.430

p[1760].x: 3.543	p[1760].y: -6.839	p[1760].z: -1.764
p[1760].vx: 51.386	p[1760].vy: -97.472	p[1760].vz: -24.466

p[1761].x: -2.789	p[1761].y: -3.471	p[1761].z: -1.675
p[1761].vx: -44.687	p[1761].vy: -58.218	p[1761].vz: -28.298

p[1762].x: -3.735	p[1762].y: -6.688	p[1762].z: 1.947
p[1762].vx: -52.357	p[1762].vy: -95.873	p[1762].vz: 27.146

p[1763].x: -5.851	p[1763].y: 4.584	p[1763].z: -0.366
p[1763].vx: -83.863	p[1763].vy: 65.784	p[1763].vz: -5.557

p[1764].x: 6.502	p[1764].y: 2.358	p[1764].z: -5.307
p[1764].vx: 93.980	p[1764].vy: 33.790	p[1764].vz: -76.218

p[1765].x: -2.650	p[1765].y: -2.812	p[1765].z: -2.289
p[1765].vx: -41.268	p[1765].vy: -43.066	p[1765].vz: -34.310

